2q, intensity
1.000009999999999977e+01,3.400000000000000000e+01
1.002051999999999943e+01,1.500000000000000000e+01
1.004095000000000049e+01,4.700000000000000000e+01
1.006137000000000015e+01,2.800000000000000000e+01
1.008178999999999981e+01,3.900000000000000000e+01
1.010222000000000087e+01,1.800000000000000000e+01
1.012264000000000053e+01,1.000000000000000000e+00
1.014306000000000019e+01,3.000000000000000000e+00
1.016347999999999985e+01,3.100000000000000000e+01
1.018390999999999913e+01,6.300000000000000000e+01
1.020433000000000057e+01,0.000000000000000000e+00
1.022475000000000023e+01,1.900000000000000000e+01
1.024517999999999951e+01,0.000000000000000000e+00
1.026559999999999917e+01,5.300000000000000000e+01
1.028602000000000061e+01,0.000000000000000000e+00
1.030644999999999989e+01,3.000000000000000000e+01
1.032686999999999955e+01,0.000000000000000000e+00
1.034728999999999921e+01,1.300000000000000000e+01
1.036771000000000065e+01,0.000000000000000000e+00
1.038813999999999993e+01,0.000000000000000000e+00
1.040855999999999959e+01,1.700000000000000000e+01
1.042897999999999925e+01,0.000000000000000000e+00
1.044941000000000031e+01,0.000000000000000000e+00
1.046982999999999997e+01,0.000000000000000000e+00
1.049024999999999963e+01,0.000000000000000000e+00
1.051068000000000069e+01,1.200000000000000000e+01
1.053110000000000035e+01,0.000000000000000000e+00
1.055152000000000001e+01,0.000000000000000000e+00
1.057193999999999967e+01,7.000000000000000000e+00
1.059237000000000073e+01,0.000000000000000000e+00
1.061279000000000039e+01,4.000000000000000000e+00
1.063321000000000005e+01,0.000000000000000000e+00
1.065363999999999933e+01,0.000000000000000000e+00
1.067406000000000077e+01,3.000000000000000000e+00
1.069448000000000043e+01,4.800000000000000000e+01
1.071490999999999971e+01,4.000000000000000000e+00
1.073532999999999937e+01,2.300000000000000000e+01
1.075575000000000081e+01,3.200000000000000000e+01
1.077617000000000047e+01,0.000000000000000000e+00
1.079659999999999975e+01,0.000000000000000000e+00
1.081701999999999941e+01,2.800000000000000000e+01
1.083744000000000085e+01,1.800000000000000000e+01
1.085787000000000013e+01,2.700000000000000000e+01
1.087828999999999979e+01,2.800000000000000000e+01
1.089870999999999945e+01,2.100000000000000000e+01
1.091914000000000051e+01,2.100000000000000000e+01
1.093956000000000017e+01,1.400000000000000000e+01
1.095997999999999983e+01,1.000000000000000000e+01
1.098039999999999949e+01,3.700000000000000000e+01
1.100083000000000055e+01,4.000000000000000000e+01
1.102125000000000021e+01,3.500000000000000000e+01
1.104166999999999987e+01,6.600000000000000000e+01
1.106209999999999916e+01,1.000000000000000000e+01
1.108252000000000059e+01,1.600000000000000000e+01
1.110294000000000025e+01,2.900000000000000000e+01
1.112336999999999954e+01,2.100000000000000000e+01
1.114378999999999920e+01,1.300000000000000000e+01
1.116421000000000063e+01,0.000000000000000000e+00
1.118463000000000029e+01,1.300000000000000000e+01
